epoch,num_episodes,total_reward,reward_per_epoch,mean_q
1,254,176,0.692913385827,0.138172945173
2,741,835,1.12685560054,0.310950800451
3,336,2260,6.72619047619,0.454679353599
4,221,3031,13.7149321267,0.873230675342
5,215,4131,19.2139534884,0.966261001679
6,168,5654,33.6547619048,1.17166102688
7,149,4705,31.5771812081,1.41065778033
8,185,3608,19.5027027027,1.52515882571
9,132,4512,34.1818181818,1.6135479848
10,130,5424,41.7230769231,1.65509496406
11,100,8290,82.9,1.71970287923
12,95,7568,79.6631578947,1.75712543579
13,92,7891,85.7717391304,1.83419759498
14,92,10206,110.934782609,1.61604458228
15,91,12307,135.241758242,1.80470941626
16,89,11085,124.550561798,1.78877684949
17,85,13266,156.070588235,1.76337971868
18,83,11533,138.951807229,1.73291084876
19,88,12886,146.431818182,1.84204287942
