epoch,num_episodes,total_reward,reward_per_epoch,best_reward,mean_q
1,238,30585,128.508403361,520,1.24837972037
2,205,36375,177.43902439,715,1.96532898458
3,233,17595,75.5150214592,705,2.75305121217
4,213,45680,214.460093897,600,3.47415190114
5,169,16195,95.8284023669,385,3.95557176332
6,131,58365,445.534351145,995,4.2825815158
7,120,36255,302.125,785,4.92531803317
8,113,60880,538.761061947,1330,5.52093570061
9,136,68370,502.720588235,1305,5.68920636942
10,161,82345,511.459627329,980,6.15428658241
11,136,78455,576.875,1240,6.28502894284
12,132,80130,607.045454545,1635,6.60578606725
13,130,76340,587.230769231,1105,6.86013816079
14,109,47230,433.302752294,870,7.05834806159
15,108,77685,719.305555556,1405,7.28526190154
16,138,87615,634.891304348,1575,7.30672307551
17,114,81355,713.640350877,1705,7.54586575013
18,118,82885,702.415254237,1480,7.70661171101
19,123,81570,663.170731707,1375,7.92010437351
20,125,86255,690.04,1235,7.92014104676
21,122,82450,675.819672131,1440,8.15905429944
22,124,86185,695.040322581,1400,8.29683831729
23,114,43700,383.333333333,1000,8.17463203598
24,121,87830,725.867768595,1490,7.84213138733
25,118,87155,738.601694915,1360,7.71357559104
26,126,86140,683.650793651,1635,7.91990522917
27,119,83590,702.43697479,1580,8.13663113263
28,118,93495,792.330508475,1650,8.03555760939
29,134,88335,659.21641791,1810,8.08642072313
30,106,82605,779.29245283,1920,7.88310119729
31,106,79665,751.556603774,2310,7.7623804874
32,123,82945,674.349593496,1375,7.82547703374
33,112,87030,777.053571429,1610,7.79291273702
34,115,87505,760.913043478,1600,7.93403200135
35,118,89035,754.533898305,1460,7.66718296658
36,120,91415,761.791666667,1430,7.83142038252
37,130,89290,686.846153846,1615,8.03952365063
38,109,87475,802.52293578,1740,7.62073344385
39,109,84345,773.80733945,1560,7.83288888268
40,113,85190,753.89380531,1835,7.88402360775
41,105,84095,800.904761905,1760,7.95603305593
42,106,90930,857.830188679,1530,8.10973962894
43,104,85475,821.875,1580,8.0903629994
44,128,75125,586.9140625,1580,8.06306558441
45,106,89950,848.58490566,1750,8.04795862837
46,101,95440,944.95049505,2435,8.19877103552
47,117,102025,872.008547009,2600,8.17937993553
48,96,88155,918.28125,1775,8.18452875622
