epoch,num_episodes,total_reward,reward_per_epoch,best_reward,mean_q
1,210,42410,201.952380952,725,0.621506340927
2,203,33175,163.42364532,620,1.02506786988
3,294,46400,157.823129252,515,1.37453153575
4,215,51340,238.790697674,505,1.99287473222
5,225,15260,67.8222222222,385,2.13248470833
6,185,41020,221.72972973,525,2.34576740394
7,150,65690,437.933333333,900,2.45918447753
8,128,68550,535.546875,1200,2.77385470906
9,120,73095,609.125,1275,2.98959346299
10,124,69525,560.685483871,865,3.11364168056
11,139,76595,551.043165468,1295,3.30104457919
12,123,83625,679.87804878,1430,3.53276310208
13,130,83105,639.269230769,1155,3.91200871156
14,140,88320,630.857142857,1405,4.10908434861
15,114,77430,679.210526316,1350,4.2854267866
16,119,59170,497.226890756,1855,4.53080042225
17,130,84495,649.961538462,1270,4.65091595557
18,133,83150,625.187969925,1405,4.58704764898
19,122,78890,646.639344262,1510,4.6404352453
20,121,65990,545.371900826,1310,4.74483339904
21,132,92910,703.863636364,1540,4.76196472273
22,139,93835,675.071942446,1550,4.96670439564
23,149,89005,597.348993289,1355,5.07900612956
24,126,90335,716.944444444,1655,5.02338036422
25,128,88015,687.6171875,1525,5.26805375019
26,129,93410,724.108527132,1900,4.945219199
27,125,78725,629.8,1595,4.95202549113
28,108,77820,720.555555556,1430,5.09993383399
29,118,94015,796.737288136,1805,5.14269911694
30,104,86645,833.125,1600,5.33513022039
31,116,84160,725.517241379,1805,5.38412627794
32,132,90690,687.045454545,1740,5.29365544492
33,149,98220,659.194630872,1500,5.15289686229
34,122,91515,750.12295082,1585,5.07806006313
35,122,93940,770.0,1550,5.45993561201
36,119,95310,800.924369748,2200,5.31214963216
37,115,91035,791.608695652,1720,5.37803386472
38,110,92915,844.681818182,1985,5.29111702272
39,114,89385,784.078947368,1575,5.1045479861
40,109,92435,848.027522936,1580,5.05856471605
41,120,96785,806.541666667,2525,5.06793500604
42,116,89705,773.318965517,1600,5.05489804173
43,119,92890,780.588235294,1555,5.19959916307
44,112,78745,703.080357143,1430,5.34111100255
45,120,94390,786.583333333,1490,5.17762765895
46,132,97065,735.340909091,1630,5.48173644787
47,113,92145,815.442477876,2195,5.3437298397
48,115,97095,844.304347826,1865,5.63349822398
49,112,94035,839.598214286,1890,5.58483014621
50,116,95345,821.939655172,1795,5.70498174626
51,101,91205,903.01980198,1710,5.60748629503
52,115,88145,766.47826087,1540,5.67038119417
53,102,95320,934.509803922,2090,5.63369790215
54,106,99105,934.952830189,1800,5.58316530712
55,102,95940,940.588235294,1600,5.42148316512
56,102,98785,968.480392157,2065,5.32446447005
57,101,98345,973.712871287,2150,5.30646390704
58,93,89715,964.677419355,2065,5.61924695922
59,108,90350,836.574074074,2385,5.62561197668
60,96,92795,966.614583333,2005,5.57420140034
61,92,90460,983.260869565,2035,5.62566428293
62,89,89485,1005.4494382,2020,5.67268509751
63,99,98800,997.97979798,2060,5.77126848882
64,103,99265,963.737864078,2005,5.59576476308
65,101,98190,972.178217822,2435,5.713011974
66,96,100435,1046.19791667,2265,5.87048444867
67,88,87350,992.613636364,2635,5.58087344313
68,131,87610,668.778625954,1930,5.76278076258
69,112,92330,824.375,1785,5.83178657621
70,94,94780,1008.29787234,2610,5.69016062597
71,97,97520,1005.36082474,2240,5.79959271807
72,112,78425,700.223214286,1620,5.80456887901
73,84,97615,1162.08333333,2500,5.65539689907
74,110,96005,872.772727273,2215,5.77439391367
75,90,94150,1046.11111111,2435,5.81010640265
76,98,73860,753.673469388,2350,5.80443873739
77,101,99615,986.287128713,1775,5.65142568974
78,89,92425,1038.48314607,2030,5.79491068933
79,94,92175,980.585106383,2370,5.76432221066
80,95,86400,909.473684211,2690,5.70889477661
81,95,100250,1055.26315789,2515,5.60475576714
82,101,87655,867.871287129,1700,5.68002187748
83,97,97920,1009.48453608,2515,5.60323668636
84,85,101320,1192.0,2635,5.66676121019
85,99,93075,940.151515152,2030,5.66996504502
86,101,90315,894.207920792,2060,5.91994228933
87,96,101285,1055.05208333,2105,5.6921791346
88,100,96095,960.95,2490,5.63649906361
89,79,97400,1232.91139241,2690,5.62218288682
90,77,91970,1194.41558442,1970,5.55539318791
91,99,97755,987.424242424,2495,5.66666484501
92,82,93630,1141.82926829,2665,5.57339726005
93,87,96810,1112.75862069,2845,5.79640155394
94,95,104730,1102.42105263,2635,5.65315490548
95,99,98595,995.909090909,2065,5.67635444483
96,88,98935,1124.26136364,2465,5.78499094099
97,96,99270,1034.0625,2465,5.64734014258
98,90,100975,1121.94444444,2105,5.64754351636
99,88,99520,1130.90909091,2390,5.50286987161
100,96,93685,975.885416667,2320,5.45119218579
101,86,99445,1156.3372093,2690,5.39053944781
102,84,94220,1121.66666667,2150,5.27016763814
103,99,95700,966.666666667,1840,5.369300559
104,82,97940,1194.3902439,2660,5.49787792783
105,97,71815,740.360824742,2150,5.38500108985
106,91,98010,1077.03296703,2360,5.56017305741
107,93,101790,1094.51612903,2980,5.62322583843
108,86,88760,1032.09302326,1930,5.85048198605
109,102,96530,946.37254902,2500,5.80599262895
110,92,99230,1078.58695652,2690,5.92937162176
111,95,96975,1020.78947368,2465,5.95801788256
112,81,92850,1146.2962963,2240,5.87145270923
113,84,98425,1171.72619048,2690,5.66800266232
114,76,102545,1349.27631579,2825,5.45289839158
115,101,93655,927.277227723,2035,5.53240996661
116,96,78125,813.802083333,2470,5.62371864516
117,79,97055,1228.5443038,2065,5.55535182536
118,80,96470,1205.875,2635,5.58650090303
119,83,103250,1243.97590361,2550,5.45804462714
120,84,100100,1191.66666667,2690,5.68045258796
